Country Name,Country Code,Series Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total GDP
Chad,TCD,GDP (current US$),12367363678,12953535496,13940768066,10950392220,10097778354,10000395242,11239167048,11314951343,10715396135,11779980802,1.15E+11
Channel Islands,CHI,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,GDP (current US$),2.67E+11,2.77E+11,2.59E+11,2.42E+11,2.49E+11,2.76E+11,2.95E+11,2.79E+11,2.53E+11,3.17E+11,2.71E+12
China,CHN,GDP (current US$),8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.77E+13,1.24E+14
Colombia,COL,GDP (current US$),3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.70E+11,3.14E+11,3.26E+12
Comoros,COM,GDP (current US$),1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1188797575,1195019559,1225039231,1296089633,11242905903
"Congo, Dem. Rep.",COD,GDP (current US$),29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,47568210069,51775830726,48716960860,55350968593,4.14E+11
"Congo, Rep.",COG,GDP (current US$),17692912613,17958721572,17912908766,11890259136,10219341277,11094822713,13670036996,12750339023,10483151176,13366230220,1.37E+11
Costa Rica,CRI,GDP (current US$),47231651863,50949672206,52016408951,56441917653,58847016045,60516043590,62420165100,64417670083,62158002233,64282438667,5.79E+11
Cote d'Ivoire,CIV,GDP (current US$),36302305578,42760237561,48843008580,45814637971,47964234560,51588158718,58011466451,58539424930,61348579465,70043191477,5.21E+11
Croatia,HRV,GDP (current US$),57369359295,59032066092,58423981441,50242783066,52397494687,56323836170,62316840750,62327983580,57472012427,68955083280,5.85E+11
Cuba,CUB,GDP (current US$),73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00E+11,1.03E+11,1.07E+11,0,8.16E+11
Curacao,CUW,GDP (current US$),3024525140,3039944134,3048435754,3042737430,3014748603,3009497207,3020388827,2995185475,2496174749,2699612458,29391249777
Cyprus,CYP,GDP (current US$),25048659900,23961144906,23226782251,19909190059,21046951516,22946726164,25596474965,25944504646,25008448886,28407867534,2.41E+11
Czechia,CZE,GDP (current US$),2.09E+11,2.12E+11,2.09E+11,1.88E+11,1.96E+11,2.19E+11,2.49E+11,2.53E+11,2.46E+11,2.82E+11,2.26E+12
Denmark,DNK,GDP (current US$),3.27E+11,3.44E+11,3.53E+11,3.03E+11,3.13E+11,3.32E+11,3.57E+11,3.46E+11,3.55E+11,3.98E+11,3.43E+12
Dominica,DMA,GDP (current US$),485996296.3,498296296.3,520207407.4,540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8,554181481.5,5367722222
Ecuador,ECU,GDP (current US$),87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11,1.08E+11,1.08E+11,99291124000,1.06E+11,1.01E+12
"Egypt, Arab Rep.",EGY,GDP (current US$),2.79E+11,2.88E+11,3.06E+11,3.29E+11,3.32E+11,2.36E+11,2.50E+11,3.03E+11,3.65E+11,4.04E+11,3.09E+12
El Salvador,SLV,GDP (current US$),21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24563020000,28736940000,2.45E+11
Equatorial Guinea,GNQ,GDP (current US$),22388345810,21948835350,21765454404,13185496836,11240809132,12200912828,13097011143,11364133802,10099158075,12269392840,1.50E+11
Eritrea,ERI,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,GDP (current US$),23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30624720196,31081901909,31370395573,37191166152,2.79E+11
Eswatini,SWZ,GDP (current US$),4886533033,4597532030,4422968340,4063245671,3816022047,4402969226,4665237415,4495264161,3982226055,4743335153,44075333131
Ethiopia,ETH,GDP (current US$),43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,1.08E+11,1.11E+11,7.66E+11
Faroe Islands,FRO,GDP (current US$),2427190332,2690116269,2913995546,2573908649,2813286391,2980054219,3188610522,3275706960,3248696902,3649886275,29761452065
Fiji,FJI,GDP (current US$),3972012571,4189915667,4857220602,4682546881,4930204220,5353404419,5581371848,5481675173,4477040340,4296304590,47821696311
Finland,FIN,GDP (current US$),2.58E+11,2.71E+11,2.75E+11,2.35E+11,2.41E+11,2.56E+11,2.76E+11,2.69E+11,2.72E+11,2.97E+11,2.65E+12
