Country Name,Country Code,Series Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total GDP
Sint Maarten (Dutch part),SXM,GDP (current US$),985865921.8,1022905028,1245251397,1253072626,1263687151,1191620112,1185474860,0,0,0,8147877096
Slovak Republic,SVK,GDP (current US$),94623731086,98935222175,1.01E+11,88900883131,89952699525,95649966261,1.06E+11,1.06E+11,1.07E+11,1.17E+11,1.01E+12
Slovenia,SVN,GDP (current US$),46577793184,48415657265,49997186439,43107506024,44766722791,48589100043,54177882426,54331588482,53706800044,61748586535,5.05E+11
Solomon Islands,SLB,GDP (current US$),1185215902,1285917750,1335579570,1307908070,1379482147,1469787256,1615479409,1619154819,1536148246,1631486532,14366159701
Somalia,SOM,GDP (current US$),0,4577000000,5024999992,5335000000,5534000000,5609000000,5856000006,6485000000,6883000000,7628000011,52932000009
South Africa,ZAF,GDP (current US$),4.34E+11,4.01E+11,3.81E+11,3.47E+11,3.24E+11,3.81E+11,4.04E+11,3.89E+11,3.38E+11,4.19E+11,3.82E+12
South Sudan,SSD,GDP (current US$),11931472169,18426469017,13962212847,11997800760,0,0,0,0,0,0,56317954793
Spain,ESP,GDP (current US$),1.32E+12,1.36E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12,1.42E+12,1.39E+12,1.28E+12,1.43E+12,1.33E+13
Sri Lanka,LKA,GDP (current US$),70447191496,77000596661,82528526230,85140963537,88012262257,94376246467,94493847352,89014990792,85349112171,88927263725,8.55E+11
St. Kitts and Nevis,KNA,GDP (current US$),826231629.6,875376407.4,953174074.1,957040740.7,1008100000,1058937037,1076911111,1107840741,884525925.9,860840740.7,9608978407
St. Lucia,LCA,GDP (current US$),1605146778,1664816741,1749289303,1807227215,1865459670,1996710563,2057067919,2094201725,1516015719,1691275157,18047210790
St. Martin (French part),MAF,GDP (current US$),0,0,772950710.8,0,0,0,0,0,0,0,772950710.8
St. Vincent and the Grenadines,VCT,GDP (current US$),730032592.6,764781259.3,770901444.4,786554592.6,814302259.3,847620222.2,884328185.2,910149703.7,872134555.6,904181492.8,8284986308
Sudan,SDN,GDP (current US$),63195499524,66026600235,76818327442,84985132167,1.03E+11,1.30E+11,32333780383,32338079165,27034593750,34326058557,6.50E+11
Suriname,SUR,GDP (current US$),4980000000,5145757576,5240606061,5126188135,3317437626,3591660724,3996204757,4016040575,2911807496,2984706244,41310409194
Sweden,SWE,GDP (current US$),5.52E+11,5.87E+11,5.82E+11,5.05E+11,5.16E+11,5.41E+11,5.55E+11,5.34E+11,5.47E+11,6.36E+11,5.56E+12
Switzerland,CHE,GDP (current US$),6.86E+11,7.06E+11,7.27E+11,6.94E+11,6.88E+11,6.95E+11,7.26E+11,7.21E+11,7.40E+11,8.01E+11,7.18E+12
Syrian Arab Republic,SYR,GDP (current US$),43190317725,21361254648,21502061462,16468399180,12598742887,16369724433,21351730539,22443299775,11079795397,0,1.86E+11
Tajikistan,TJK,GDP (current US$),7633049792,8448469838,9112544556,8271454301,6992393787,7536439875,7765014424,8300784857,8133996648,8746270636,80940418714
Tanzania,TZA,GDP (current US$),39650522646,45680532614,49964825081,47378603784,49774004999,53320647489,57003685912,61136873692,62409709111,67841049193,5.34E+11
Thailand,THA,GDP (current US$),3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.13E+11,4.56E+11,5.07E+11,5.44E+11,5.00E+11,5.06E+11,4.55E+12
Timor-Leste,TLS,GDP (current US$),1160389551,1395519568,1447310449,1594447631,1650619370,1595724261,1563887944,2028551628,2158392540,3621222382,18216065324
Togo,TGO,GDP (current US$),3873308389,4321655656,4574986537,4180866177,6031632168,6395472574,7112200725,7220395248,7574636979,8413200568,59698355021
Tonga,TON,GDP (current US$),470714083.4,450643615.2,439878828,437006227.2,420540178.6,460379145,488903272.9,512057749,484806718.3,469231309.5,4634161127
Trinidad and Tobago,TTO,GDP (current US$),27121712423,28557451143,29489012807,26851970254,23496215885,23797686966,24322359035,23849557812,21059428851,24460196271,2.53E+11
Tunisia,TUN,GDP (current US$),47311159485,48684187850,50271072628,45780077488,44360754190,42163966273,42685972269,41906113686,42537832456,46686741814,4.52E+11
Turkiye,TUR,GDP (current US$),8.81E+11,9.58E+11,9.39E+11,8.64E+11,8.70E+11,8.59E+11,7.78E+11,7.60E+11,7.20E+11,8.19E+11,8.45E+12
Turkmenistan,TKM,GDP (current US$),35164210526,39197543860,43524210526,35799714286,36169428571,37926285714,40765428571,45231428571,0,0,3.14E+11
Turks and Caicos Islands,TCA,GDP (current US$),727161000,754238000,841070000,942070000,1032452000,1022365000,1113178000,1197415000,924583000,943269800,9497801800
Tuvalu,TUV,GDP (current US$),39345620.21,38617493.72,38759689.92,36811659.53,41629497.47,45217657.88,47818290.5,54223149.11,55054710.62,63100961.54,460578730.5
Uganda,UGA,GDP (current US$),27305915761,28915786997,32612397758,32387183845,29203988815,30744473912,32927025573,35353060634,37600368181,40529789026,3.28E+11
Ukraine,UKR,GDP (current US$),1.83E+11,1.90E+11,1.34E+11,91030959455,93355993629,1.12E+11,1.31E+11,1.54E+11,1.57E+11,2.00E+11,1.45E+12
United Arab Emirates,ARE,GDP (current US$),3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,3.94E+12
United Kingdom,GBR,GDP (current US$),2.71E+12,2.79E+12,3.07E+12,2.93E+12,2.70E+12,2.68E+12,2.88E+12,2.86E+12,2.70E+12,3.13E+12,2.85E+13
United States,USA,GDP (current US$),1.63E+13,1.68E+13,1.76E+13,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13,2.11E+13,2.33E+13,1.93E+14
Uruguay,URY,GDP (current US$),51264390116,57531233351,57236013086,53274304222,57236652490,64233966861,64515038268,61231149881,53560755047,59319484711,5.79E+11
Uzbekistan,UZB,GDP (current US$),67517349212,73180036692,80845384375,86196265192,86138288615,62081323299,52633143808,59907674027,59894305353,69238903106,6.98E+11
Vanuatu,VUT,GDP (current US$),747839697.7,758304466.2,772315721.3,730870581.7,780889605.9,880062103,914736985.4,936526267.6,896879875.2,956332655.7,8374757960
"Venezuela, RB",VEN,GDP (current US$),3.81E+11,3.71E+11,4.82E+11,0,0,0,0,0,0,0,1.23E+12
Vietnam,VNM,GDP (current US$),1.96E+11,2.14E+11,2.33E+11,2.39E+11,2.57E+11,2.81E+11,3.10E+11,3.34E+11,3.47E+11,3.66E+11,2.78E+12
Virgin Islands (U.S.),VIR,GDP (current US$),4089000000,3738000000,3565000000,3663000000,3798000000,3794000000,3922000000,4117000000,4204000000,0,34890000000
West Bank and Gaza,PSE,GDP (current US$),12208400000,13515500000,13989700000,13972400000,15405400000,16128000000,16276600000,17133500000,15531700000,18036800000,1.52E+11
"Yemen, Rep.",YEM,GDP (current US$),35401323350,40415233436,43228585321,42444495590,31317828584,26842231205,21606161066,0,0,0,2.41E+11
Zambia,ZMB,GDP (current US$),25503060420,28037239463,27141023558,21251216799,20958412538,25873601261,26311590297,23308667781,18110631358,22147634727,2.39E+11
Zimbabwe,ZWE,GDP (current US$),17114849880,19091019990,19495519630,19963120610,20548678070,17584890937,34156069918,21832234926,21509698406,28371238666,2.20E+11
